player_name,team,position,adp,source
Keenan Allen,LAC,WR,288,fantasypros_ecr
Devin Singletary,NYG,RB,289,fantasypros_ecr
Brandon Aiyuk,SF,WR,290,fantasypros_ecr
Emari Demercado,KC,RB,291,fantasypros_ecr
Devin Neal,NO,RB,292,fantasypros_ecr
Brashard Smith,KC,RB,293,fantasypros_ecr
Kaleb Johnson,PIT,RB,294,fantasypros_ecr
Kyle Williams,NE,WR,295,fantasypros_ecr
Hollywood Brown,PHI,WR,296,fantasypros_ecr
Caleb Douglas,MIA,WR,297,fantasypros_ecr
Adam Randall,BAL,RB,298,fantasypros_ecr
Mack Hollins,NE,WR,299,fantasypros_ecr
Kendre Miller,NO,RB,300,fantasypros_ecr
